value_date,stock_code,open,close,HIGH,LOW,VOLUME,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-01-04,9997,1410,1412,1419,1385,269200,,1412.0,1412.0,,,,0.0,,,,,,
2018-01-05,9997,1406,1407,1428,1399,167600,,1409.25,1409.3684210526317,,,,0.06944444444411602,,0.0,,,,
2018-01-09,9997,1407,1419,1413,1390,124800,,1410.355481727575,1410.339483394834,,,,-0.011925945557322848,,51.85185185185185,,,,1419.0
2018-01-10,9997,1409,1413,1412,1370,306200,,1399.036881188119,1400.354172724629,,,,0.7853109522470731,,10.327999092044038,,,,1413.0
2018-01-11,9997,1368,1411,1377,1351,207000,,1387.2563086998296,1390.0115259700615,,,,1.6217680537772594,,7.216274743038397,,,,1411.0
2018-01-12,9997,1358,1377,1363,1341,320600,,1376.2808857207367,1380.405152819602,,,,2.392722700710465,,5.8462770137039115,,,,1377.0
2018-01-15,9997,1339,1363,1356,1326,251300,,1370.4301676486764,1374.9604558608141,,,,2.5569706849048544,,15.183669959978758,,,,1363.0
2018-01-16,9997,1352,1326,1374,1349,86000,,1369.6497879776894,1373.5627389952383,,,,2.100095115674094,,30.97955000823967,,,1326.0,
2018-01-17,9997,1401,1326,1405,1371,337800,,1371.4665019041945,1374.287095739968,,,,1.3808734241274578,1.2105843811475552,39.82938032718505,,,1326.0,
2018-01-18,9997,1395,1329,1395,1349,198800,1375.6,1366.747274673441,1370.4046669525883,,1425.5055107177552,1325.6944892822446,1.878030437869711,1.4192544297997454,29.199604195898345,,,1329.0,
2018-01-19,9997,1352,1332,1375,1352,113900,1371.1,1366.7989032980997,1369.9084968087202,96.81303116147308,1414.7939355059716,1327.4060644940282,1.4999418558497837,1.5781985866225972,39.91788166050433,,,1332.0,
2018-01-22,9997,1351,1334,1357,1341,155000,1365.9,1364.4415040135289,1367.8308615705573,96.3041933191187,1403.1714367847555,1328.6285632152446,1.6490184877629872,1.7627479681026317,36.0046031128161,,,1334.0,
2018-01-23,9997,1372,1336,1387,1367,139600,1363.2,1368.476504622951,1370.1329304304415,98.08781869688386,1388.809373284015,1337.590626715985,0.5584024822471747,1.7375359158804207,49.368150538991735,,,1336.0,
2018-01-24,9997,1395,1338,1420,1392,198300,1365.4,1374.1885143010268,1373.7462487112307,101.59883720930232,1397.8863048067954,1332.9136951932048,-0.6924879055138717,1.480396364848073,53.86407528350014,,,1338.0,
