value_date,stock_code,open,close,HIGH,LOW,VOLUME,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2017-01-04,4718,1019,1018,1022,1014,11300,,1018.0,1018.0,,,,0.0,,,,,,
2017-01-05,4718,1024,1019,1027,1018,11000,,1018.5500000000001,1018.5263157894738,,,,-0.01388888888902784,,100.0,,,,
2017-01-06,4718,1020,1014,1035,1020,8300,,1024.7607973421927,1024.2361623616237,,,,-0.31018816491882717,,100.0,,,1014.0,
2017-01-10,4718,1033,1014,1045,1032,11500,,1029.7814356435645,1028.820005815644,,,,-0.5613108587983788,,100.0,,,1014.0,
2017-01-11,4718,1040,1015,1045,1040,5200,,1033.2890531558205,1032.0384850186806,,,,-0.718036558681888,,100.0,,,1015.0,
2017-01-12,4718,1044,1016,1052,1043,10200,,1037.8891978195659,1036.0852571394423,,,,-1.0315089694347535,,100.0,,,1016.0,
2017-01-13,4718,1051,1018,1058,1046,12300,,1042.735093274698,1040.2858729419088,,,,-1.39097720674431,,100.0,,,1018.0,
2017-01-16,4718,1060,1022,1070,1052,16500,,1048.0279716746318,1044.8008240579088,,,,-1.8193248114805556,,100.0,,,1022.0,
2017-01-17,4718,1084,1027,1090,1068,17400,,1054.5488361890677,1050.2203941456996,,,,-2.4298471887757387,-0.9194536275248311,100.0,,,1027.0,
2017-01-18,4718,1077,1035,1125,1074,26000,1051.9,1066.8268634984404,1059.859197728977,,1106.4633576679444,997.3366423320559,-3.956460770287322,-1.359060379778978,100.0,,,1035.0,
2017-01-19,4718,1137,1049,1140,1100,23900,1062.5,1078.5066205104865,1069.2065881004314,110.41257367387034,1126.9003105582574,998.0996894417426,-5.224590166750204,-1.9380271884302198,100.0,,,1049.0,
2017-01-20,4718,1130,1065,1140,1120,17400,1072.6,1086.796921791179,1076.2851141103338,109.9116781157998,1138.2121939886176,1006.9878060113822,-5.753701378826008,-2.542861989975462,95.19420922737484,,,1065.0,
2017-01-23,4718,1102,1078,1117,1101,11800,1080.4,1091.7435110746962,1081.0738300368084,107.54352030947776,1144.3262074582876,1016.4737925417127,-5.627642039439934,-3.1057876767134127,86.26497828436561,,,1078.0,
2017-01-24,4718,1104,1089,1120,1103,6900,1088.1,1096.629968702193,1085.7321126869706,107.40384615384615,1149.1930437938724,1027.0069562061274,-5.569294497514875,-3.6448163365837445,87.08063849367461,,,1089.0,
2017-01-25,4718,1127,1098,1136,1118,13700,1097.2,1103.5855323561104,1091.6844309676756,108.73320537428025,1155.143420679142,1039.256579320858,-5.99979411287768,-4.196848019188514,89.27543505577731,,,1098.0,
2017-01-26,4718,1133,1103,1138,1126,8300,1105.1,1108.5899776957037,1096.3874706118752,107.51665080875357,1156.9108096829225,1053.2891903170773,-5.988098432228071,-4.707639266464487,86.31453919877805,89.13043478260869,,1103.0,
2017-01-27,4718,1131,1109,1142,1131,9000,1113.5,1114.871795240998,1101.8616648744498,107.93950850661626,1158.880612600537,1068.119387399463,-6.295473643856894,-5.204989136728525,88.02533854533777,95.17045454545455,,1109.0,
2017-01-30,4718,1144,1115,1150,1135,8500,1121.2,1120.127907449541,1106.7020079095744,107.22326454033771,1156.8067409348291,1085.593259065171,-6.356149956755189,-5.641244999837353,88.15818844587017,95.0,93.10029644268775,1115.0,
2017-01-31,4718,1132,1122,1141,1132,5900,1126.9,1122.8929982334853,1109.973774234618,105.28756957328386,1148.523135757795,1105.2768642422052,-5.867511530068668,-5.8535839731463915,80.46704820724416,93.27217125382263,94.48087526642574,1122.0,
2017-02-01,4718,1130,1150,1130,1105,16200,1126.8,1120.8760027750393,1110.2044404362816,99.91015274034142,1148.6869824324876,1104.9130175675123,-4.375138098824664,-5.759200410043554,63.35408463842995,81.30841121495327,89.86019415625863,,1150.0
2017-02-02,4718,1111,1130,1119,1103,11300,1126.1,1120.1606986174431,1110.9674883208409,99.37722419928826,1148.7353705514186,1103.4646294485813,-3.449239948876766,-5.503149140049193,65.09211570492619,72.168284789644,82.24962241947331,,1130.0
2017-02-03,4718,1115,1119,1120,1111,6400,1125.6,1119.2108995706203,1111.414788287975,99.55357142857143,1148.9615068007188,1102.238493199281,-2.6307239156212745,-5.170158237402676,63.78888399201657,62.676056338028175,72.0509174475418,,1119.0
2017-02-06,4718,1113,1118,1113,1104,10800,1125.3,1117.335812831133,1111.1498260170663,99.73021582733813,1149.4172137694227,1101.1827862305772,-1.7328097809861447,-4.743882157788373,59.913423397212185,57.421875,64.08873870922406,,1118.0
2017-02-07,4718,1104,1113,1114,1104,9100,1124.2,1115.2579285479976,1110.590204388587,99.0152193375112,1150.6242313038626,1097.7757686961374,-0.9390908187165223,-4.181581791770466,58.015506902713476,42.30769230769231,54.13520788190683,,1113.0
2017-02-08,4718,1105,1112,1110,1103,10500,1121.9,1114.2955650039469,1110.5266191804299,97.96999117387467,1148.858486604408,1094.9415133955922,-0.5507538966883203,-3.577432398932716,59.84212239365551,28.57142857142857,42.76699862637363,,1112.0
2017-02-09,4718,1113,1103,1119,1105,6300,1120.5,1114.6071514483956,1111.111763944782,98.76106194690266,1147.0819487622718,1093.9180512377282,-0.5392516657466331,-2.937852179142687,62.47910550401257,20.27027027027027,30.38313038313038,1103.0,
2017-02-10,4718,1116,1103,1145,1116,15500,1119.3,1117.4183202007678,1113.1172033227058,98.9492119089317,1142.7955314900523,1095.8044685099476,-1.144054178940678,-2.3587304260521855,67.79337192468364,35.172413793103445,28.004704211600757,1103.0,
2017-02-13,4718,1144,1104,1149,1140,11200,1119.7,1122.8163974251336,1116.692600558483,100.34995625546807,1144.8722068957024,1094.5277931042976,-2.28572034733088,-1.9607536279702091,72.82633677689508,60.13986013986013,38.52751473441128,1104.0,
2017-02-14,4718,1147,1106,1158,1146,10400,1121.6,1128.5030283042206,1120.6077490345456,101.67400881057269,1153.1620024713268,1090.037997528673,-3.3063582690176645,-1.8420003135472092,74.58734916409884,81.87919463087249,59.06382285461202,1106.0,
2017-02-15,4718,1162,1110,1181,1162,18200,1127.8,1136.7953501434556,1126.183329442647,105.57553956834533,1171.4330150230305,1084.1669849769694,-4.804403317949209,-1.9925740212219252,78.812243359007,92.22222222222223,78.08042566431828,1110.0,
2017-02-16,4718,1175,1117,1188,1165,20700,1133.3,1143.2089436873164,1130.9467299570013,104.92390331244405,1183.4760899233888,1083.123910076611,-5.5816138147840775,-2.320450676684459,77.42600659814441,87.61467889908256,87.23869858405908,1117.0,
