Date,Open,High,Low,Close,Adj Close,Volume,Code
2018-01-04,1965,2002,1957,2002,2002,1292100,8303
2018-01-05,2015,2033,2015,2033,2033,1181800,8303
2018-01-09,2049,2064,2034,2063,2063,1893600,8303
2018-01-10,2078,2102,2061,2069,2069,1577600,8303
2018-01-11,2067,2093,2066,2081,2081,1361200,8303
2018-01-12,2077,2091,2044,2052,2052,1308000,8303
2018-01-15,2068,2091,2053,2057,2057,1246400,8303
2018-01-16,2051,2059,2026,2030,2030,965500,8303
2018-01-17,2006,2007,1989,1994,1994,1191800,8303
2018-01-18,2017,2024,1974,1974,1974,1259400,8303
2018-01-19,1964,1979,1944,1952,1952,1699600,8303
2018-01-22,1966,1978,1958,1969,1969,774800,8303
2018-01-23,1978,2006,1973,2002,2002,919100,8303
2018-01-24,1985,1987,1922,1950,1950,2062800,8303
2018-01-25,1935,1943,1911,1939,1939,1445700,8303
2018-01-26,1942,1947,1920,1922,1922,1029800,8303
2018-01-29,1922,1947,1906,1934,1934,1151000,8303
2018-01-30,1923,1931,1913,1925,1925,1404300,8303
2018-01-31,1925,1940,1898,1901,1901,1303900,8303
2018-02-01,1844,1865,1802,1831,1831,5360100,8303
2018-02-02,1843,1846,1788,1801,1801,3164200,8303
2018-02-05,1770,1799,1756,1764,1764,1797200,8303
2018-02-06,1711,1714,1657,1705,1705,2304400,8303
2018-02-07,1741,1758,1692,1694,1694,2857600,8303
2018-02-08,1693,1731,1683,1724,1724,2562900,8303
2018-02-09,1677,1682,1656,1679,1679,2025200,8303
2018-02-13,1706,1727,1695,1699,1699,2065800,8303
2018-02-14,1704,1721,1696,1706,1706,2467000,8303
2018-02-15,1720,1741,1706,1706,1706,1499000,8303
2018-02-16,1706,1719,1692,1703,1703,1399000,8303
2018-02-19,1717,1762,1712,1755,1755,1076800,8303
2018-02-20,1755,1755,1722,1741,1741,953500,8303
2018-02-21,1714,1714,1679,1683,1683,2292600,8303
2018-02-22,1667,1679,1656,1674,1674,2019300,8303
2018-02-23,1676,1702,1670,1699,1699,1240800,8303
2018-02-26,1705,1718,1703,1711,1711,1005400,8303
2018-02-27,1722,1726,1711,1718,1718,1171600,8303
2018-02-28,1714,1717,1691,1696,1696,1421500,8303
2018-03-01,1687,1687,1651,1665,1665,1947400,8303
2018-03-02,1645,1652,1630,1650,1650,1818400,8303
2018-03-05,1648,1665,1641,1661,1661,1553000,8303
2018-03-06,1681,1689,1648,1652,1652,1646800,8303
2018-03-07,1644,1651,1626,1639,1639,1916400,8303
2018-03-08,1700,1720,1680,1688,1688,2627700,8303
2018-03-09,1701,1708,1670,1679,1679,1693800,8303
2018-03-12,1703,1709,1692,1707,1707,1454200,8303
2018-03-13,1696,1712,1689,1712,1712,946900,8303
2018-03-14,1697,1704,1687,1693,1693,1634200,8303
2018-03-15,1685,1687,1660,1668,1668,1451900,8303
2018-03-16,1680,1680,1666,1667,1667,1052500,8303
2018-03-19,1659,1672,1656,1667,1667,930700,8303
2018-03-20,1666,1688,1665,1672,1672,994600,8303
2018-03-22,1660,1660,1622,1640,1640,1757700,8303
2018-03-23,1620,1635,1604,1612,1612,1780800,8303
2018-03-26,1586,1589,1569,1589,1589,1458100,8303
2018-03-27,1607,1644,1605,1640,1640,1612500,8303
2018-03-28,1621,1640,1599,1639,1639,1068200,8303
2018-03-29,1655,1665,1621,1637,1637,1062200,8303
2018-03-30,1647,1659,1629,1636,1636,797300,8303
2018-04-02,1634,1651,1604,1605,1605,793400,8303
2018-04-03,1598,1598,1575,1590,1590,1316100,8303
2018-04-04,1598,1601,1585,1596,1596,869700,8303
2018-04-05,1608,1646,1604,1634,1634,1140200,8303
2018-04-06,1630,1638,1615,1617,1617,889300,8303
2018-04-09,1621,1646,1612,1641,1641,961500,8303
2018-04-10,1630,1654,1615,1645,1645,1051800,8303
2018-04-11,1650,1658,1643,1643,1643,421500,8303
2018-04-12,1652,1658,1645,1655,1655,776500,8303
2018-04-13,1669,1696,1666,1684,1684,972200,8303
2018-04-16,1683,1705,1679,1689,1689,880500,8303
2018-04-17,1673,1675,1636,1640,1640,1117500,8303
2018-04-18,1630,1644,1621,1627,1627,987700,8303
2018-04-19,1630,1668,1623,1647,1647,1117700,8303
2018-04-20,1666,1668,1641,1653,1653,1037500,8303
2018-04-23,1638,1675,1638,1659,1659,1407800,8303
2018-04-24,1670,1696,1652,1685,1685,1797800,8303
2018-04-25,1680,1713,1675,1703,1703,2002400,8303
2018-04-26,1711,1736,1693,1716,1716,1713100,8303
2018-04-27,1716,1723,1702,1708,1708,1203100,8303
2018-05-01,1688,1688,1660,1668,1668,862000,8303
2018-05-02,1667,1683,1658,1673,1673,606900,8303
2018-05-07,1680,1685,1664,1681,1681,627400,8303
2018-05-08,1693,1717,1681,1705,1705,896200,8303
2018-05-09,1707,1741,1696,1739,1739,1538700,8303
2018-05-10,1741,1752,1730,1742,1742,1316400,8303
2018-05-11,1741,1830,1724,1822,1822,3157000,8303
2018-05-14,1839,1858,1800,1806,1806,1975400,8303
2018-05-15,1836,1846,1809,1812,1812,1168100,8303
2018-05-16,1798,1843,1792,1838,1838,1425000,8303
2018-05-17,1840,1880,1837,1841,1841,1683700,8303
2018-05-18,1849,1860,1836,1852,1852,1147200,8303
2018-05-21,1842,1849,1826,1828,1828,1322900,8303
2018-05-22,1843,1846,1825,1830,1830,1318800,8303
2018-05-23,1822,1828,1807,1808,1808,1424600,8303
2018-05-24,1792,1793,1773,1782,1782,1194900,8303
2018-05-25,1781,1793,1773,1780,1780,1068500,8303
2018-05-28,1775,1795,1768,1793,1793,713600,8303
2018-05-29,1798,1799,1761,1766,1766,742300,8303
2018-05-30,1730,1743,1712,1726,1726,1134200,8303
2018-05-31,1749,1755,1716,1720,1720,1411000,8303
